callid,agentid,customerid,pickedup,duration,productsold,transaction_date
0,10,179,0,0,0,2024-12-19
1,5,691,1,116,0,2024-10-25
2,10,80,1,165,0,2024-10-29
3,6,629,1,128,0,2024-04-15
4,8,318,1,205,0,2024-08-08
5,7,319,1,225,1,2024-01-30
6,10,265,1,211,0,2024-02-15
7,9,625,0,0,0,2024-01-15
8,5,877,0,0,0,2024-09-06
9,5,191,1,145,0,2024-12-03
10,9,494,0,0,0,2024-09-08
11,5,558,0,0,0,2024-10-05
12,3,703,1,303,0,2024-11-10
13,5,684,1,258,0,2024-06-23
14,2,601,1,179,0,2024-03-20
15,10,399,0,0,0,2024-01-16
16,8,460,0,0,0,2024-11-22
17,10,858,1,118,1,2024-02-02
18,4,192,0,0,0,2024-02-25
19,8,413,1,180,0,2024-04-30
20,0,828,1,174,0,2024-05-19
21,5,322,1,149,0,2024-12-01
22,2,120,1,131,0,2024-06-29
23,1,559,1,87,0,2024-07-28
24,9,240,1,194,0,2024-11-19
25,7,461,1,105,1,2024-04-07
26,8,102,1,229,1,2024-04-20
27,2,727,1,219,1,2024-04-28
28,3,235,1,166,1,2024-09-01
29,5,29,1,225,0,2024-02-29
30,5,809,1,164,0,2024-01-20
31,9,705,0,0,0,2024-09-13
32,3,992,1,132,0,2024-04-06
33,5,1000,1,206,1,2024-02-16
34,8,452,1,155,0,2024-07-15
35,6,904,1,151,1,2024-08-06
36,2,175,1,256,0,2024-08-11
37,5,765,1,180,1,2024-06-21
38,9,207,1,54,0,2024-04-06
39,4,314,1,289,0,2024-04-10
40,1,602,1,163,0,2024-04-28
41,4,357,1,162,1,2024-02-01
42,0,635,1,148,0,2024-08-09
43,0,733,1,182,1,2024-09-22
44,5,697,0,0,0,2024-08-31
45,2,396,1,267,0,2024-08-30
46,6,664,0,0,0,2024-02-03
47,10,753,1,135,0,2024-08-22
48,8,366,1,182,0,2024-05-30
49,7,975,0,0,0,2024-03-17
50,3,794,1,184,0,2024-04-29
51,6,751,0,0,0,2024-04-10
52,9,176,1,266,0,2024-08-06
