callid,agentid,customerid,pickedup,duration,productsold,transaction_date
0,10,179,0,0,0,2024-01-10
1,5,691,1,116,0,2024-02-20
2,10,80,1,165,0,2024-11-01
3,6,629,1,128,0,2024-03-17
4,8,318,1,205,0,2024-11-25
5,7,319,1,225,1,2024-09-29
6,10,265,1,211,0,2024-04-14
7,9,625,0,0,0,2024-05-19
8,5,877,0,0,0,2024-02-27
9,5,191,1,145,0,2024-07-14
10,9,494,0,0,0,2024-07-09
11,5,558,0,0,0,2024-10-10
12,3,703,1,303,0,2024-07-13
13,5,684,1,258,0,2024-03-21
14,2,601,1,179,0,2024-05-11
15,10,399,0,0,0,2024-10-12
16,8,460,0,0,0,2024-02-16
17,10,858,1,118,1,2024-04-29
18,4,192,0,0,0,2024-07-04
19,8,413,1,180,0,2024-07-07
20,0,828,1,174,0,2024-01-11
21,5,322,1,149,0,2024-05-23
22,2,120,1,131,0,2024-12-15
23,1,559,1,87,0,2024-08-17
24,9,240,1,194,0,2024-12-11
25,7,461,1,105,1,2024-05-03
26,8,102,1,229,1,2024-11-08
27,2,727,1,219,1,2024-11-07
28,3,235,1,166,1,2024-03-23
29,5,29,1,225,0,2024-04-24
30,5,809,1,164,0,2024-10-06
31,9,705,0,0,0,2024-08-01
32,3,992,1,132,0,2024-04-12
33,5,1000,1,206,1,2024-05-18
34,8,452,1,155,0,2024-10-27
35,6,904,1,151,1,2024-09-30
36,2,175,1,256,0,2024-07-27
37,5,765,1,180,1,2024-12-15
38,9,207,1,54,0,2024-10-31
39,4,314,1,289,0,2024-08-03
40,1,602,1,163,0,2024-07-28
41,4,357,1,162,1,2024-08-20
42,0,635,1,148,0,2024-03-29
43,0,733,1,182,1,2024-11-27
44,5,697,0,0,0,2024-02-11
45,2,396,1,267,0,2024-02-03
46,6,664,0,0,0,2024-01-21
47,10,753,1,135,0,2024-11-25
48,8,366,1,182,0,2024-03-30
49,7,975,0,0,0,2024-02-14
50,3,794,1,184,0,2024-07-01
51,6,751,0,0,0,2024-07-29
52,9,176,1,266,0,2024-02-22
53,5,670,1,227,0,2024-07-22
54,0,972,1,198,0,2024-05-02
55,8,517,0,0,0,2024-10-14
56,9,267,1,130,0,2024-03-13
57,10,94,1,151,1,2024-02-12
58,7,957,1,204,0,2024-03-27
59,4,160,1,107,0,2024-01-28
60,3,40,1,220,1,2024-09-26
61,6,373,1,137,1,2024-03-05
